year,side,window,count,mean_raw_return,median_raw_return,win_rate
2018,LONG,10d,69,0.002166487326847236,0.006641625892922429,0.5217391304347826
2018,LONG,1d,69,0.009372217856322319,0.003711760755771202,0.5217391304347826
2018,LONG,20d,69,0.028249083098731198,0.021698141997715213,0.6231884057971014
2018,LONG,3d,69,0.00476689593539717,0.0035394846977107944,0.5217391304347826
2018,LONG,5d,69,0.0009456960501517112,0.004692632432465718,0.5362318840579711
2019,LONG,10d,75,0.026440835451769857,0.0327784126234331,0.6666666666666666
2019,LONG,1d,75,0.005517213581527705,-0.00217848921451747,0.44
2019,LONG,20d,75,0.038804370240694726,0.024578179578673212,0.6533333333333333
2019,LONG,3d,75,0.008746336637906697,0.004557608234850348,0.52
2019,LONG,5d,75,0.011332868732091286,0.015700427227649513,0.5866666666666667
2020,LONG,10d,81,0.018933389347213204,0.019415877102810192,0.6049382716049383
2020,LONG,1d,81,-0.008998139611838202,-0.009244910332569316,0.4567901234567901
2020,LONG,20d,81,0.04381984108399852,0.03545854570139103,0.6666666666666666
2020,LONG,3d,81,0.004448230163765784,-0.0036764379328641317,0.4444444444444444
2020,LONG,5d,81,0.0021733113718290765,0.00876684830644991,0.5308641975308642
2021,LONG,10d,81,0.005684223943103635,0.002485544134028569,0.5185185185185185
2021,LONG,1d,81,0.0004636554724303223,-0.0028635319447357383,0.4444444444444444
2021,LONG,20d,81,0.016459291712109456,0.014085432992761267,0.5679012345679012
2021,LONG,3d,81,-0.0008809718456506948,0.00416407019640855,0.5308641975308642
2021,LONG,5d,81,0.005617683223479868,0.0031919465976141177,0.5061728395061729
2022,LONG,10d,80,0.008399810199216871,-0.0022780540210166167,0.5
2022,LONG,1d,80,0.00436133659422825,0.00938296820642184,0.5375
2022,LONG,20d,80,0.010646510139707474,0.00966651134435566,0.5375
2022,LONG,3d,80,0.007345972030294141,0.010722479754439782,0.525
2022,LONG,5d,80,0.016314736692655638,0.013720402645735888,0.6
2023,LONG,10d,75,0.032305627107945996,0.021720066465777163,0.6266666666666667
2023,LONG,1d,75,-0.002277386813846499,-0.0017626746226165255,0.49333333333333335
2023,LONG,20d,75,0.05688145096414345,0.046866518924813874,0.6266666666666667
2023,LONG,3d,75,-0.0007181008334813225,-0.004059268193806653,0.4666666666666667
2023,LONG,5d,75,0.00539226904380282,0.0001840790356595092,0.5066666666666667
2024,LONG,10d,87,0.021474656642835342,0.023838371755144656,0.6091954022988506
2024,LONG,1d,87,0.0013989276228668136,-0.005408349524478071,0.4482758620689655
2024,LONG,20d,87,0.039993652502900455,0.038755083537612645,0.632183908045977
2024,LONG,3d,87,0.0018842095488227771,0.0017140095865489614,0.5287356321839081
2024,LONG,5d,87,0.008898050951490058,0.014473088423324497,0.5747126436781609
2025,LONG,10d,88,0.0003098178669519844,-0.001550202706626579,0.48863636363636365
2025,LONG,1d,88,0.006267426282770295,-0.0025235632602477907,0.45454545454545453
2025,LONG,20d,88,-0.0016428148596557952,-0.0006085716329457948,0.5
2025,LONG,3d,88,0.01644546887841875,0.0035369662234006624,0.5568181818181818
2025,LONG,5d,88,0.012856227302261124,0.006106930743823875,0.5568181818181818
2026,LONG,10d,10,-0.059265307106558564,-0.04954665987276209,0.3
2026,LONG,1d,15,-0.009202838162605587,-0.023489910333813212,0.4
2026,LONG,20d,9,-0.09170755450913537,-0.10069681956179495,0.1111111111111111
2026,LONG,3d,15,-0.016132101530576464,-0.0075352785532720075,0.4
2026,LONG,5d,13,-0.030307001145075937,-0.044450780480602164,0.46153846153846156
